station,thecount,stationid,lat,long,elevation,state,name
USC00410902,5
USC00411048,5
USC00411138,5
USC00412019,5
USC00412266,5
USC00412598,5
USC00413183,5
USC00413280,5
USC00413873,5
USC00413992,5
USC00415018,5
USC00415196,5
USC00415272,5
USC00415429,5
USC00415707,5
USC00415869,5
USC00416276,5
USC00416892,5
USC00418201,5
USC00418433,5
USC00418910,5
USC00419532,5
USC00421731,5
USC00422101,5
USC00422253,5
USC00422996,5
USC00423809,5
USC00425186,5
USC00427516,5
USC00429111,5
USC00437607,5
USC00455946,5
USC00459376,5
USC00470349,5
USC00470991,5
USC00475120,5
USC00475255,5
USC00476208,5
USC00478027,5
USC00478110,5
USC00480140,5
USC00480540,5
USC00484065,5
USC00486195,5
USC00486440,5
USC00486660,5
USC00487260,5
USC00487760,5
USC00488160,5
USC00489770,5
USW00003822,5
USW00012921,5
USW00012930,5
USW00013899,5
USW00013970,5
USW00013976,5
USW00014924,5
USW00023009,5
USW00023044,5
USW00024025,5
USW00024151,5
USW00093193,5
USW00093805,5
USW00093806,5
USW00094008,5
USC00013160,6
USC00024645,6
USC00035754,6
USC00035908,6
USC00036253,6
USC00041715,6
USC00042294,6
USC00042728,6
USC00043747,6
USC00043875,6
USC00044232,6
USC00044997,6
USC00045032,6
USC00045385,6
USC00045532,6
USC00046074,6
USC00046506,6
USC00046730,6
USC00048839,6
USC00049087,6
USC00049122,6
USC00049200,6
USC00049699,6
USC00051741,6
USC00052184,6
USC00053146,6
USC00053662,6
USC00055722,6
USC00057337,6
USC00057936,6
USC00062658,6
USC00099291,6
USC00100448,6
USC00100470,6
USC00102845,6
USC00103143,6
USC00103732,6
USC00104140,6
USC00104295,6
USC00104670,6
USC00105685,6
USC00106305,6
USC00106542,6
USC00106891,6
USC00107386,6
USC00108080,6
USC00111280,6
USC00111436,6
USC00112348,6
USC00114108,6
USC00114442,6
USC00115515,6
USC00116446,6
USC00116558,6
USC00116579,6
USC00120200,6
USC00124837,6
USC00126705,6
USC00127125,6
USC00128036,6
USC00129113,6
USC00129253,6
USC00130133,6
USC00131402,6
USC00132724,6
USC00132864,6
USC00132977,6
USC00132999,6
USC00134142,6
USC00135952,6
USC00137147,6
USC00137979,6
USC00143810,6
USC00144588,6
USC00147542,6
USC00170814,6
USC00172765,6
USC00173944,6
USC00174566,6
USC00175304,6
USC00179891,6
USC00190120,6
USC00190535,6
USC00193213,6
USC00200032,6
USC00200128,6
USC00200146,6
USC00200230,6
USC00200779,6
USC00201486,6
USC00201492,6
USC00201675,6
USC00203632,6
USC00203823,6
USC00204104,6
USC00204244,6
USC00205434,6
USC00205662,6
USC00205816,6
USC00206300,6
USC00207812,6
USC00211465,6
USC00212645,6
USC00212698,6
USC00212737,6
USC00215400,6
USC00215887,6
USC00217405,6
USC00219046,6
USC00219249,6
USC00220021,6
USC00221707,6
USC00223605,6
USC00224776,6
USC00226009,6
USC00226718,6
USC00228374,6
USC00229079,6
USC00229400,6
USC00231037,6
USC00238051,6
USC00238223,6
USC00240780,6
USC00241722,6
USC00242689,6
USC00243110,6
USC00243139,6
USC00244558,6
USC00245015,6
USC00245338,6
USC00245668,6
USC00247318,6
USC00248569,6
USC00250130,6
USC00250622,6
USC00252020,6
USC00252820,6
USC00253175,6
USC00253365,6
USC00253615,6
USC00253715,6
USC00253735,6
USC00255565,6
USC00256570,6
USC00256970,6
USC00257070,6
USC00257515,6
USC00258133,6
USC00267369,6
USC00270706,6
USC00272174,6
USC00273850,6
USC00274399,6
USC00280907,6
USC00298387,6
USC00300023,6
USC00300085,6
USC00300183,6
USC00300321,6
USC00300443,6
USC00300937,6
USC00301799,6
USC00301966,6
USC00301974,6
USC00302060,6
USC00302610,6
USC00303033,6
USC00303184,6
USC00303259,6
USC00303319,6
USC00303773,6
USC00304174,6
USC00304791,6
USC00304796,6
USC00304844,6
USC00304912,6
USC00304996,6
USC00305426,6
USC00305512,6
USC00306085,6
USC00306774,6
USC00307484,6
USC00308600,6
USC00308631,6
USC00308906,6
USC00308944,6
USC00309000,6
USC00309670,6
USC00315830,6
USC00318113,6
USC00323207,6
USC00326015,6
USC00326155,6
USC00326315,6
USC00331152,6
USC00331541,6
USC00333780,6
USC00336118,6
USC00336196,6
USC00336600,6
USC00338769,6
USC00339312,6
USC00340256,6
USC00340292,6
USC00341243,6
USC00342678,6
USC00346926,6
USC00347254,6
USC00352135,6
USC00358797,6
USC00358997,6
USC00363028,6
USC00363526,6
USC00366233,6
USC00367029,6
USC00367477,6
USC00367931,6
USC00368449,6
USC00368596,6
USC00368905,6
USC00369298,6
USC00387631,6
USC00388440,6
USC00391392,6
USC00392927,6
USC00394037,6
USC00395456,6
USC00396947,6
USC00411772,6
USC00412121,6
USC00413420,6
USC00413734,6
USC00415618,6
USC00416794,6
USC00417336,6
USC00422726,6
USC00422828,6
USC00425065,6
USC00425402,6
USC00425826,6
USC00426135,6
USC00426404,6
USC00427714,6
USC00427729,6
USC00427909,6
USC00428119,6
USC00428705,6
USC00428771,6
USC00428973,6
USC00429717,6
USC00431243,6
USC00431360,6
USC00431580,6
USC00432769,6
USC00437054,6
USC00451630,6
USC00452505,6
USC00453222,6
USC00456039,6
USC00457059,6
USC00457267,6
USC00458059,6
USC00458207,6
USC00459012,6
USC00459074,6
USC00459238,6
USC00471078,6
USC00472001,6
USC00472839,6
USC00473405,6
USC00474546,6
USC00475017,6
USC00475474,6
USC00475516,6
USC00475808,6
USC00475932,6
USC00476330,6
USC00476718,6
USC00476827,6
USC00478827,6
USC00478919,6
USC00480552,6
USC00481730,6
USC00481840,6
USC00481905,6
USC00482595,6
USC00485830,6
USC00487115,6
USC00487388,6
USC00487990,6
USC00489905,6
USW00013782,6
USW00014733,6
USW00014735,6
USW00014742,6
USW00014743,6
USW00014757,6
USW00014768,6
USW00014771,6
USW00014778,6
USW00014804,6
USW00014860,6
USW00014922,6
USW00014929,6
USW00024018,6
USW00024027,6
USW00024037,6
USW00024121,6
USW00024144,6
USW00024193,6
USW00024257,6
USW00094794,6
USC00017157,7
USC00017304,7
USC00018469,7
USC00021248,7
USC00024089,7
USC00026796,7
USC00027435,7
USC00027716,7
USC00029271,7
USC00030936,7
USC00031596,7
USC00031632,7
USC00032356,7
USC00032444,7
USC00032930,7
USC00034572,7
USC00034756,7
USC00035186,7
USC00035512,7
USC00035820,7
USC00036928,7
USC00041614,7
USC00042941,7
USC00043761,7
USC00046508,7
USC00046826,7
USC00047851,7
USC00047965,7
USC00049490,7
USC00052446,7
USC00054076,7
USC00054770,7
USC00054834,7
USC00055322,7
USC00057167,7
USC00067970,7
USC00068138,7
USC00079605,7
USC00092318,7
USC00092475,7
USC00093621,7
USC00096335,7
USC00097600,7
USC00098740,7
USC00099141,7
USC00099157,7
USC00100803,7
USC00103631,7
USC00104845,7
USC00105275,7
USC00105462,7
USC00106152,7
USC00106388,7
USC00107264,7
USC00108137,7
USC00110187,7
USC00112483,7
USC00113879,7
USC00115943,7
USC00116738,7
USC00118147,7
USC00120784,7
USC00121030,7
USC00121425,7
USC00121747,7
USC00126001,7
USC00126580,7
USC00127755,7
USC00127875,7
USC00127935,7
USC00129080,7
USC00140365,7
USC00141704,7
USC00141740,7
USC00141867,7
USC00142401,7
USC00142459,7
USC00142835,7
USC00143527,7
USC00143954,7
USC00144087,7
USC00144464,7
USC00144530,7
USC00144559,7
USC00144695,7
USC00144972,7
USC00145152,7
USC00145173,7
USC00145363,7
USC00145972,7
USC00146128,7
USC00147271,7
USC00147305,7
USC00148495,7
USC00150254,7
USC00150381,7
USC00150619,7
USC00152791,7
USC00153430,7
USC00153762,7
USC00153994,7
USC00154703,7
USC00157324,7
USC00158709,7
USC00158714,7
USC00170100,7
USC00171628,7
USC00173046,7
USC00181385,7
USC00182282,7
USC00182523,7
USC00183675,7
USC00185111,7
USC00186620,7
USC00186770,7
USC00187330,7
USC00188000,7
USC00189440,7
USC00189750,7
USC00190736,7
USC00194105,7
USC00195246,7
USC00196783,7
USC00198367,7
USC00198757,7
USC00202423,7
USC00205690,7
USC00207690,7
USC00218419,7
USC00220488,7
USC00220955,7
USC00221962,7
USC00223975,7
USC00224173,7
USC00225247,7
USC00227111,7
USC00230856,7
USC00231364,7
USC00232289,7
USC00232809,7
USC00234271,7
USC00234705,7
USC00234825,7
USC00234850,7
USC00234904,7
USC00235027,7
USC00235253,7
USC00235541,7
USC00235671,7
USC00235976,7
USC00237263,7
USC00238466,7
USC00238725,7
USC00240199,7
USC00241044,7
USC00241737,7
USC00242409,7
USC00242793,7
USC00245080,7
USC00245761,7
USC00246472,7
USC00246918,7
USC00247286,7
USC00248501,7
USC00248597,7
